Left,Right,PLeft,PRight
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10,10,0,0
25,25,10,10
40,40,25,25
67,67,40,40
83,83,67,67
98,98,83,83
113,113,98,98
128,128,113,113
143,143,128,128
158,158,143,143
173,173,158,158
189,189,173,173
204,204,189,189
219,219,204,204
234,234,219,219
249,249,234,234
266,266,249,249
281,281,266,266
296,296,281,281
311,311,296,296
328,328,311,311
344,344,328,328
360,360,344,344
374,374,360,360
390,390,374,374
405,405,390,390
420,420,405,405
434,434,420,420
465,465,434,434
480,480,465,465
496,496,480,480
511,511,496,496
526,526,511,511
540,540,526,526
555,555,540,540
572,572,555,555
588,588,572,572
603,603,588,588
619,619,603,603
635,635,619,619
651,651,635,635
666,666,651,651
681,681,666,666
697,697,681,681
720,720,697,697
736,736,720,720
751,751,736,736
767,767,751,751
781,781,767,767
796,796,781,781
811,811,796,796
826,826,811,811
851,851,826,826
866,866,851,851
882,882,866,866
896,896,882,882
911,911,896,896
927,927,911,911
943,943,927,927
959,959,943,943
975,975,959,959
990,990,975,975
1007,1007,990,990
1023,1023,1007,1007
1039,1039,1023,1023
1055,1055,1039,1039
1070,1070,1055,1055
1086,1086,1070,1070
1101,1101,1086,1086
1117,1117,1101,1101
1133,1133,1117,1117
1147,1147,1133,1133
1163,1163,1147,1147
